dossierId,yearFrom_stabs,yearTo_stabs,yearFrom2,yearTo2,yearFrom_entryMin,yearTo_entryMax,yearFrom_entryFirst,yearTo_entryLast
HGB_1_001_022,1544.0,,,,1596,1771,1596,1771
HGB_1_001_027,,,,,1406,1586,1406,1586
HGB_1_001_028,1516.0,,,,1544,1653,1544,1653
HGB_1_001_029,1507.0,1516.0,,,1404,1516,1404,1516
HGB_1_001_034,,1656.0,,,1482,1528,1482,1528
HGB_1_001_036,,1763.0,,,1494,1710,1494,1710
HGB_1_001_038,,1492.0,,,1479,1492,1479,1492
HGB_1_001_039,,1455.0,,,1415,1422,1415,1422
HGB_1_001_040,,1455.0,,,1438,1438,1438,1438
HGB_1_002_021,,1489.0,,,1400,1841,1400,1841
HGB_1_002_022,1489.0,,,,1489,1781,1489,1781
HGB_1_002_023,,,,,1373,1797,1373,1797
HGB_1_002_024,,,,,1394,1793,1394,1793
HGB_1_002_025,,,,,1424,1773,1424,1773
HGB_1_002_026,,,,,1414,1784,1414,1784
HGB_1_002_027,1430.0,,,,1430,1773,1430,1773
HGB_1_002_028,1430.0,,,,1452,1775,1452,1775
HGB_1_002_029,,1430.0,,,1420,1424,1420,1424
HGB_1_002_030,,1420.0,,,1419,1420,1419,1420
HGB_1_002_031,,1570.0,,,1400,1525,1400,1525
HGB_1_002_032,,1570.0,,,1393,1567,1393,1567
HGB_1_002_033,1570.0,1763.0,,,1518,1763,1518,1763
HGB_1_002_034,1763.0,,,,1763,1795,1763,1795
HGB_1_002_035,,1763.0,,,1409,1763,1409,1763
HGB_1_002_036,,,,,1399,1764,1399,1764
HGB_1_002_037,,,,,1415,1797,1415,1797
HGB_1_002_038,,,,,1479,1799,1479,1799
HGB_1_002_039,,,,,1438,1795,1438,1795
HGB_1_002_040,,,,,1440,1801,1440,1801
HGB_1_002_041,1794.0,,,,1794,1794,1794,1794
HGB_1_002_042,1745.0,1794.0,,,1743,1776,1743,1776
HGB_1_002_044,1794.0,,,,1794,1794,1794,1794
HGB_1_002_045,,,,,1437,1783,1437,1783
HGB_1_002_046,,,,,1413,1765,1413,1765
HGB_1_002_047,,,,,1401,1806,1401,1806
HGB_1_002_048,,,,,1400,1801,1400,1801
HGB_1_002_049,,,,,1421,1785,1421,1785
HGB_1_002_050,,,,,1415,1801,1415,1801
HGB_1_002_051,,,,,1404,1775,1404,1775
HGB_1_002_052,,,,,1411,1800,1411,1800
HGB_1_002_053,,,,,1419,1799,1419,1799
HGB_1_002_054,,,,,1434,1796,1434,1796
HGB_1_002_055,1485.0,1650.0,,,1492,1644,1582,1644
HGB_1_002_056,1650.0,1801.0,,,1650,1796,1650,1796
HGB_1_002_057,1650.0,1801.0,,,1662,1801,1662,1801
HGB_1_002_058,,1485.0,,,1391,1485,1400,1485
HGB_1_002_059,,1436.0,,,1420,1438,1420,1438
HGB_1_002_060,1436.0,,,,1393,1472,1393,1472
HGB_1_002_061,,1436.0,,,1408,1424,1408,1424
HGB_1_002_062,,,,,1443,1477,1443,1477
HGB_1_002_063,,,,,1610,1812,1610,1812
HGB_1_002_064,,,,,1420,1647,1420,1647
HGB_1_002_065,,1772.0,,,1576,1772,1576,1772
HGB_1_002_066,1772.0,,,,1772,1772,1772,1772
HGB_1_002_067,,1772.0,,,1655,1772,1655,1772
HGB_1_002_068,,,,,1610,1797,1610,1797
HGB_1_002_069,1452.0,1606.0,,,1452,1606,1452,1606
HGB_1_002_070,,,,,1610,1805,1610,1805
HGB_1_002_071,,,,,1451,1794,1451,1794
HGB_1_002_072,,,,,1444,1707,1444,1707
HGB_1_002_073,,,,,1663,1790,1663,1790
HGB_1_002_074,,,,,1423,1423,1423,1423
HGB_1_002_075,,,,,1668,1791,1668,1791
HGB_1_002_076,,,,,1406,1800,1406,1800
HGB_1_002_077,,,,,1585,1786,1585,1786
HGB_1_002_078,,1440.0,,,1414,1490,1414,1490
HGB_1_002_079,1440.0,,,,1440,1583,1440,1583
HGB_1_002_080,,,,,1587,1789,1587,1789
HGB_1_002_081,1440.0,,,,1440,1798,1440,1798
HGB_1_002_082,1732.0,,,,1733,1806,1733,1806
HGB_1_002_083,,1732.0,,,1439,1732,1439,1732
HGB_1_002_084,1732.0,,,,1732,1768,1732,1768
HGB_1_002_085,,,,,1349,1800,1349,1800
HGB_1_002_086,,1739.0,,,1394,1739,1394,1739
HGB_1_002_087,,1739.0,,,1349,1738,1349,1738
HGB_1_002_088,1739.0,,,,1739,1789,1739,1789
HGB_1_002_089,,,,,1381,1797,1381,1797
HGB_1_002_090,,,,,1361,1797,1361,1797
HGB_1_002_091,,,,,1324,1789,1370,1789
HGB_1_002_092,,,,,1338,1789,1338,1789
HGB_1_002_093,,,,,1391,1794,1391,1794
HGB_1_002_094,1357.0,1407.0,,,1370,1377,1370,1377
HGB_1_002_095,,,,,1391,1788,1391,1788
HGB_1_002_096,,,,,1413,1789,1413,1789
HGB_1_002_097,,,,,1407,1798,1407,1798
HGB_1_002_098,,,,,1341,1789,1341,1773
HGB_1_002_099,,,,,1419,1805,1419,1805
HGB_1_002_100,,,,,1347,1774,1347,1774
HGB_1_002_101,1604.0,,,,1604,1804,1604,1804
HGB_1_002_102,1604.0,,,,1604,1795,1604,1795
HGB_1_002_103,,1604.0,,,1414,1609,1414,1609
HGB_1_002_104,,,,,1358,1763,1358,1763
HGB_1_002_105,,,,,1400,1794,1400,1794
HGB_1_002_106,,,,,1387,1786,1387,1786
HGB_1_002_107,,,,,1457,1785,1457,1785
HGB_1_002_108,,,,,1398,1800,1398,1800
HGB_1_002_109,1481.0,,,,1414,1806,1414,1806
HGB_1_002_110,,,,,1403,1800,1403,1800
HGB_1_002_111,1427.0,,,,1427,1795,1427,1795
HGB_1_002_112,,,,,1349,1791,1349,1791
HGB_1_002_113,1427.0,,,,1427,1795,1427,1795
HGB_1_002_114,,1810.0,,,1366,1613,1366,1613
HGB_1_002_115,,,,,1458,1804,1458,1804
HGB_1_002_116,,,,,1401,1766,1401,1766
HGB_1_002_117,,1794.0,,,1396,1784,1396,1784
HGB_1_002_118,1421.0,,,,1421,1800,1421,1800
HGB_1_002_119,,1794.0,,,1429,1794,1429,1794
HGB_1_002_120,,,,,1411,1806,1411,1806
HGB_1_002_121,,,,,1424,1809,1424,1809
HGB_1_002_122,,,,,1442,1791,1442,1791
HGB_1_002_123,,,,,1510,1798,1510,1798
HGB_1_002_124,1598.0,,,,1598,1794,1598,1794
HGB_1_002_125,,1598.0,,,1543,1564,1543,1564
HGB_1_002_126,1598.0,,,,1610,1792,1610,1792
HGB_1_002_127,1607.0,,,,1607,1797,1607,1797
HGB_1_002_128,,1607.0,,,1473,1604,1473,1604
HGB_1_002_129,1607.0,,,,1607,1789,1607,1789
HGB_1_002_130,1544.0,,,,1544,1754,1544,1754
HGB_1_002_131,,1544.0,,,1385,1526,1385,1526
HGB_1_002_132,1544.0,,,,1610,1790,1610,1790
HGB_1_002_133,,,,,1487,1618,1487,1618
HGB_1_004_005,,,,,1526,1526,1526,1526
HGB_1_004_006,1737.0,,,,1737,1800,1737,1800
HGB_1_004_007,1747.0,,,,1747,1804,1747,1804
HGB_1_004_008,,,,,1850,1850,1850,1850
HGB_1_005_006,,,,,1492,1775,1492,1775
HGB_1_005_010,,,,,1642,1786,1642,1786
HGB_1_005_011,,,,,1825,1825,1825,1825
HGB_1_005_012,,,,,1826,1826,1826,1826
HGB_1_005_014,,1489.0,,,1400,1480,1400,1480
HGB_1_005_015,,,,,1408,1793,1408,1793
HGB_1_005_016,,,,,1446,1781,1446,1781
HGB_1_005_017,,,,,1357,1718,1357,1718
HGB_1_005_018,,1718.0,,,1400,1718,1400,1718
HGB_1_005_019,1718.0,,,,1718,1727,1718,1727
HGB_1_005_020,1751.0,,,,1751,1789,1751,1789
HGB_1_005_021,,1478.0,,,1400,1481,1400,1481
HGB_1_005_022,1478.0,1751.0,,,1482,1752,1482,1752
HGB_1_005_023,,1478.0,,,1445,1473,1445,1473
HGB_1_005_024,1751.0,,,,1751,1795,1751,1795
HGB_1_005_025,,,,,1420,1744,1420,1744
HGB_1_005_026,,,,,1667,1744,1667,1744
HGB_1_005_027,1744.0,,,,1748,1781,1748,1781
HGB_1_005_028,,,,,1419,1660,1419,1660
HGB_1_005_029,,,,,1772,1798,1772,1798
HGB_1_005_030,,,,,1567,1805,1567,1805
HGB_1_006_005,,1726.0,,,1726,1726,1726,1726
HGB_1_006_006,,,,,1678,1805,1678,1805
HGB_1_006_007,,1844.0,,,1689,1689,1689,1689
HGB_1_006_008,1844.0,,,,1844,1844,1844,1844
HGB_1_006_009,1844.0,,,,1844,1844,1844,1844
HGB_1_006_010,,1650.0,,,1284,1635,1284,1635
HGB_1_006_012,1650.0,,,,1359,1789,1359,1789
HGB_1_008_008,,,,,1342,1803,1477,1537
HGB_1_008_009,,,,,1427,1726,1427,1726
HGB_1_008_010,,,,,1101,1577,1101,1577
HGB_1_008_011,,,,,1284,1403,1284,
HGB_1_008_012,,,,,1345,1349,1345,1349
HGB_1_008_017,,,,,1395,1792,1395,1792
HGB_1_008_018,,,,,1663,1798,1663,1798
HGB_1_008_019,,,,,1284,1799,1284,1799
HGB_1_008_020,,1507.0,,,1393,1508,1393,1508
HGB_1_008_021,1395.0,1487.0,,,1395,1487,1395,1487
HGB_1_008_022,1395.0,1487.0,,,1395,1477,1399,1477
HGB_1_008_024,1484.0,,,,1484,1804,1484,1804
HGB_1_008_025,,1484.0,,,1284,1850,1284,1850
HGB_1_008_026,1489.0,,,,1494,1849,1494,1849
HGB_1_008_027,,1489.0,,,1441,1487,1441,1487
HGB_1_008_028,,1489.0,,,1447,1489,1447,1489
HGB_1_008_029,,,,,1605,1789,1605,1789
HGB_1_008_030,1484.0,,,,1484,1805,1484,1805
HGB_1_008_031,,,,,1284,1790,1284,1790
HGB_1_008_032,1577.0,1588.0,,,1577,1587,1577,1587
HGB_1_008_033,,,,,1395,1804,1395,1804
HGB_1_008_034,,,,,1284,1799,1284,1799
HGB_1_008_035,,,,,1284,1791,1284,1789
HGB_1_008_036,,1470.0,,,1470,1470,1470,1470
HGB_1_008_037,1454.0,1470.0,,,1454,1454,1454,1454
HGB_1_008_038,,1542.0,,,1395,1542,1395,1542
HGB_1_008_039,,,,,1766,1814,1766,1814
HGB_1_008_040,,,,,1132,1679,1132,1679
HGB_1_008_041,,,,,1373,1800,1373,1800
HGB_1_008_042,,,,,1284,1789,1284,1789
HGB_1_008_043,,,,,1425,1692,1429,1692
HGB_1_008_044,,,,,1477,1798,1477,1798
HGB_1_008_045,1588.0,,,,1588,1789,1588,1789
HGB_1_008_046,,1588.0,,,1477,1570,1477,1570
HGB_1_008_047,,1588.0,,,1451,1575,1451,1575
HGB_1_008_048,,,,,1477,1799,1477,1799
HGB_1_008_049,,,,,1477,1790,1477,1790
HGB_1_008_050,,,,,1472,1805,1472,1805
HGB_1_008_051,,,,,1477,1789,1477,1789
HGB_1_008_053,,,,,1450,1724,1450,1724
HGB_1_008_055,,,,,1495,1776,1495,1776
HGB_1_008_056,,,,,1479,1797,1479,1797
HGB_1_008_057,,,,,1477,1670,1477,1670
HGB_1_008_058,,,,,1437,1797,1437,1797
HGB_1_008_059,,1537.0,,,1487,1537,1487,1537
HGB_1_008_060,,,,,1766,1793,1766,1793
HGB_1_008_062,,1547.0,,,1388,1547,1388,1547
HGB_1_008_064,,,,,1393,1794,1393,1794
HGB_1_008_066,,,,,1284,1687,1284,1687
HGB_1_008_067,1698.0,,,,1726,1801,1726,1801
HGB_1_008_068,,1684.0,,,1671,1684,1671,1684
HGB_1_008_069,,,,,1698,1698,1698,1698
HGB_1_009_001,,,,,1450,1780,1450,1577
HGB_1_010_016,,,,,1577,1782,1577,1782
HGB_1_010_017,,,,,1284,1577,1284,1577
HGB_1_010_018,,,,,1492,1577,1492,1577
HGB_1_010_025,,,,,1366,1560,1366,1560
HGB_1_010_028,,,,,1421,1588,1585,1450
HGB_1_010_030,,,,,1158,1801,1158,1801
HGB_1_010_031,,,,,1395,1789,1395,1789
HGB_1_010_032,,,,,1395,1801,1395,1801
HGB_1_010_033,,,,,1284,1800,1284,1800
HGB_1_010_034,1590.0,1738.0,,,1590,1738,1590,1738
HGB_1_010_035,,,,,1320,1802,1320,1802
HGB_1_010_036,,,,,1366,1791,1366,1791
HGB_1_010_037,,,,,1366,1789,1366,1789
HGB_1_010_038,,,,,1135,1789,1135,1789
HGB_1_010_039,,,,,1395,1699,1395,1699
HGB_1_010_040,1547.0,,,,1577,1789,1577,1789
HGB_1_010_041,,1420.0,,,1395,1420,1395,1420
HGB_1_010_042,,1450.0,,,1324,1450,1324,1450
HGB_1_010_043,,1450.0,,,1392,1450,1392,1450
HGB_1_010_044,,1450.0,,,1395,1429,1395,1429
HGB_1_010_045,1450.0,1574.0,,,1454,1570,1454,1570
HGB_1_010_046,1450.0,1574.0,,,1436,1574,1436,1574
HGB_1_010_047,1495.0,,,,1502,1802,1502,1802
HGB_1_010_048,,1495.0,,,1366,1488,1366,1488
HGB_1_010_049,,1495.0,,,1366,1488,1366,1488
HGB_1_010_050,,1495.0,,,1366,1495,1366,1495
HGB_1_010_051,,,,,1395,1796,1399,1796
HGB_1_010_052,,,,,1369,1799,1369,1799
HGB_1_010_054,,,,,1395,1803,1395,1803
HGB_1_010_055,1610.0,1759.0,,,1610,1759,1610,1759
HGB_1_010_056,,,,,1366,1795,1366,1795
HGB_1_010_057,1610.0,1759.0,,,1610,1749,1610,1749
HGB_1_010_058,,,,,1395,1802,1395,1802
HGB_1_010_059,,,,,1395,1795,1395,1795
HGB_1_010_060,,,,,1395,1813,1395,1813
HGB_1_010_061,,,,,1366,1798,1366,1798
HGB_1_010_062,,,,,1395,1789,1395,1789
HGB_1_010_063,1403.0,,,,1403,1802,1403,1802
HGB_1_010_064,,1459.0,,,1366,1458,1366,1458
HGB_1_010_065,,1459.0,,,1349,1459,1349,1459
HGB_1_010_066,,,,,1366,1784,1366,1784
HGB_1_010_067,,,,,1353,1807,1353,1807
HGB_1_010_068,,,,,1366,1806,1366,1806
HGB_1_010_069,,,,,1284,1793,1284,1793
HGB_1_010_070,,,,,1395,1798,1395,1798
HGB_1_010_071,1469.0,,,,1395,1793,1395,1793
HGB_1_010_072,,1636.0,,,1439,1635,1439,1635
HGB_1_010_073,,1840.0,,,1636,1789,1636,1789
HGB_1_010_074,,1840.0,,,1631,1803,1631,1803
HGB_1_010_075,,1840.0,,,1450,1806,1451,1806
HGB_1_010_079,,,,,1395,1792,1395,1792
HGB_1_010_080,,,,,1450,1776,1450,1776
HGB_1_010_081,,,,,1430,1797,1430,1797
HGB_1_010_082,,,,,1430,1799,1430,1799
HGB_1_010_083,1596.0,,,,1596,1789,1596,1789
HGB_1_010_084,1596.0,,,,1596,1689,1596,1689
HGB_1_010_085,,1596.0,,,1366,1590,1366,1590
HGB_1_010_086,,,,,1395,1795,1395,1795
HGB_1_010_087,,1693.0,,,1288,1650,1288,1650
HGB_1_010_088,1693.0,,,,1693,1805,1693,1805
HGB_1_010_089,1837.0,,,,1837,1837,1837,1837
HGB_1_010_090,1693.0,,,,1745,1745,1745,1745
HGB_1_010_091,1842.0,,,,1838,1842,1838,1842
HGB_1_010_092,1838.0,1842.0,,,1838,1840,1838,1840
HGB_1_010_093,1842.0,,,,1838,1838,1838,1838
HGB_1_010_095,1838.0,1838.0,,,1838,1838,1838,1838
HGB_1_010_096,1838.0,1838.0,,,1838,1838,1838,1838
HGB_1_010_097,1838.0,,,,1842,1844,1842,1844
HGB_1_010_098,1838.0,1838.0,,,1838,1838,1838,1838
HGB_1_010_099,1838.0,1838.0,,,1838,1838,1838,1838
HGB_1_010_101,,,,,1449,1577,1449,1577
HGB_1_010_102,1636.0,,,,1679,1798,1679,1798
HGB_1_010_103,,1636.0,,,1366,1636,1366,1636
HGB_1_010_104,,1636.0,,,1353,1591,1353,1591
HGB_1_010_105,1730.0,,,,1730,1805,1730,1805
HGB_1_010_106,,1730.0,,,1307,1716,1307,1716
HGB_1_010_107,,1730.0,,,1345,1722,1345,1722
HGB_1_010_108,,,,,1353,1807,1353,1807
HGB_1_010_109,,,,,1531,1805,,1805
HGB_1_010_110,,,,,1359,1805,1359,1805
HGB_1_010_111,1603.0,,,,1609,1809,1609,1809
HGB_1_010_112,,1603.0,,,1366,1603,,1603
HGB_1_010_113,,1603.0,,,1400,1594,1400,1594
HGB_1_010_114,,,,,1345,1805,1385,1805
HGB_1_010_115,,,,,1380,1805,1380,1805
HGB_1_010_116,,,,,1447,1783,1447,1783
HGB_1_010_117,,,,,1403,1851,1403,1851
HGB_1_010_118,,,,,1325,1795,,1795
HGB_1_010_119,,,,,1408,1805,1413,1805
HGB_1_010_120,,,,,1360,1805,1360,1805
HGB_1_010_121,,,,,1430,1805,,1805
HGB_1_010_122,,,,,1300,1805,1300,1805
HGB_1_010_123,,,,,1330,1618,1330,1618
HGB_1_010_124,,,,,1474,1805,1474,1805
HGB_1_010_125,1579.0,,,,1590,1805,1590,1805
HGB_1_010_126,,1579.0,,,1366,1579,1366,1579
HGB_1_010_127,,1579.0,,,1425,1569,1425,1569
HGB_1_010_128,,,,,1438,1805,1438,1805
HGB_1_010_129,,,,,1408,1805,,1805
HGB_1_010_130,,,,,1454,1807,1454,1807
HGB_1_010_131,,,,,1502,1805,1502,1805
HGB_1_010_132,,,,,1610,1805,1610,1805
HGB_1_010_133,,,,,1419,1805,1419,1805
HGB_1_010_134,,,,,1413,1805,1413,1805
