einschliesslich,eingeschlossen
HGB_1_001_027,HGB_1_082_011
HGB_1_002_031,HGB_1_002_030
HGB_1_002_040,HGB_1_002_042
HGB_1_002_045,HGB_1_002_044
HGB_1_002_050,HGB_1_002_044
HGB_1_002_052,HGB_1_035_009
HGB_1_002_054,HGB_1_035_010
HGB_1_002_082,HGB_1_004_006
HGB_1_002_082,HGB_1_004_007
HGB_1_002_083,HGB_1_004_006
HGB_1_002_083,HGB_1_004_007
HGB_1_002_090,HGB_1_051_018
HGB_1_002_099,HGB_1_216_029
HGB_1_002_109,HGB_1_216_020
HGB_1_002_112,HGB_1_216_009
HGB_1_002_116,HGB_1_216_013
HGB_1_002_131,HGB_1_001_022
HGB_1_005_025,HGB_1_035_007
HGB_1_008_019,HGB_1_008_020
HGB_1_008_035,HGB_1_008_036
HGB_1_008_035,HGB_1_008_038
HGB_1_008_058,HGB_1_008_059
HGB_1_008_066,HGB_1_008_068
HGB_1_010_083,HGB_1_131_015
HGB_1_010_084,HGB_1_131_017
HGB_1_010_085,HGB_1_131_016
HGB_1_018_013,HGB_1_018_014
HGB_1_024_013,HGB_1_229_041
HGB_1_024_027,HGB_1_024_080
HGB_1_024_027,HGB_1_024_095
HGB_1_024_035,HGB_1_024_034
HGB_1_024_045,HGB_1_024_046
HGB_1_024_050,HGB_1_118_010
HGB_1_024_077,HGB_1_229_041
HGB_1_028_013,HGB_1_028_017
HGB_1_028_019,HGB_1_199_014
HGB_1_028_019,HGB_1_199_015
HGB_1_028_044,HGB_1_147_038
HGB_1_028_051,HGB_1_028_050
HGB_1_028_052,HGB_1_028_053
HGB_1_044_008,HGB_1_154_013
HGB_1_044_008,HGB_1_154_014
HGB_1_050_012,HGB_1_050_013
HGB_1_050_012,HGB_1_050_014
HGB_1_050_049,HGB_1_050_050
HGB_1_050_060,HGB_1_050_062
HGB_1_050_061,HGB_1_050_062
HGB_1_050_063,HGB_1_050_062
HGB_1_056_014,HGB_1_056_015
HGB_1_056_016,HGB_1_095_024
HGB_1_056_023,HGB_1_190_023
HGB_1_056_033,HGB_1_050_062
HGB_1_058_043,HGB_1_182_022
HGB_1_058_071,HGB_1_133_017
HGB_1_058_071,HGB_1_133_016
HGB_1_058_071,HGB_1_133_013
HGB_1_058_099,HGB_1_119_010
HGB_1_058_108,HGB_1_058_107
HGB_1_058_128,HGB_1_058_132
HGB_1_058_128,HGB_1_063_026
HGB_1_058_128,HGB_1_063_027
HGB_1_058_134,HGB_1_173_019
HGB_1_058_134,HGB_1_058_138
HGB_1_058_169,HGB_1_229_013
HGB_1_058_171,HGB_1_169_009
HGB_1_058_182,HGB_1_218_011
HGB_1_058_183,HGB_1_058_184
HGB_1_058_183,HGB_1_058_185
HGB_1_058_183,HGB_1_023_012
HGB_1_058_183,HGB_1_023_015
HGB_1_058_183,HGB_1_023_016
HGB_1_058_183,HGB_1_023_019
HGB_1_058_183,HGB_1_023_020
HGB_1_058_183,HGB_1_023_021
HGB_1_058_183,HGB_1_023_022
HGB_1_058_192,HGB_1_023_010
HGB_1_063_046,HGB_1_063_045
HGB_1_063_082,HGB_1_136_017
HGB_1_063_084,HGB_1_136_024
HGB_1_063_103,HGB_1_064_010
HGB_1_063_110,HGB_1_064_014
HGB_1_063_113,HGB_1_064_016
HGB_1_064_009,HGB_1_068_007
HGB_1_064_022,HGB_1_079_029
HGB_1_064_026,HGB_1_079_030
HGB_1_066_054,HGB_1_225_048
HGB_1_074_063,HGB_1_074_064
HGB_1_078_015,HGB_1_062_028
HGB_1_078_024,HGB_1_079_040
HGB_1_078_025,HGB_1_079_041
HGB_1_078_025,HGB_1_079_042
HGB_1_078_071,HGB_1_078_073
HGB_1_078_071,HGB_1_078_074
HGB_1_078_071,HGB_1_078_072
HGB_1_085_009,HGB_1_085_010
HGB_1_085_018,HGB_1_136_016
HGB_1_085_018,HGB_1_136_018
HGB_1_085_018,HGB_1_136_015
HGB_1_085_031,HGB_1_122_031
HGB_1_085_032,HGB_1_122_031
HGB_1_091_048,HGB_1_201_025
HGB_1_093_019,HGB_1_221_008
HGB_1_093_019,HGB_1_096_024
