nodeID1,nodeID2
HGB_1_002_029,HGB_1_002_027
HGB_1_002_029,HGB_1_002_028
HGB_1_002_131,HGB_1_002_130
HGB_1_002_131,HGB_1_002_132
HGB_1_002_128,HGB_1_002_127
HGB_1_002_128,HGB_1_002_129
HGB_1_002_086,HGB_1_002_088
HGB_1_002_087,HGB_1_002_088
HGB_1_002_103,HGB_1_002_101
HGB_1_002_103,HGB_1_002_102
HGB_1_002_125,HGB_1_002_126
HGB_1_002_125,HGB_1_002_124
HGB_1_006_007,HGB_1_006_008
HGB_1_006_007,HGB_1_006_009
HGB_1_008_046,HGB_1_008_045
HGB_1_008_047,HGB_1_008_045
HGB_1_008_027,HGB_1_008_026
HGB_1_008_028,HGB_1_008_026
HGB_1_010_112,HGB_1_010_111
HGB_1_010_113,HGB_1_010_111
HGB_1_010_126,HGB_1_010_125
HGB_1_010_127,HGB_1_010_125
HGB_1_014_043,HGB_1_014_044
HGB_1_014_043,HGB_1_014_042
HGB_1_014_028,HGB_1_014_029
HGB_1_014_028,HGB_1_014_027
HGB_1_017_010,HGB_1_017_009
HGB_1_017_011,HGB_1_017_009
HGB_1_018_024,HGB_1_018_023
HGB_1_018_025,HGB_1_018_023
HGB_1_024_106,HGB_1_024_105
HGB_1_024_107,HGB_1_024_105
HGB_1_024_113,HGB_1_024_112
HGB_1_024_114,HGB_1_024_112
HGB_1_024_117,HGB_1_024_116
HGB_1_024_117,HGB_1_024_072
HGB_1_024_067,HGB_1_024_066
HGB_1_024_068,HGB_1_024_066
HGB_1_058_195,HGB_1_058_194
HGB_1_058_196,HGB_1_058_194
HGB_1_058_037,HGB_1_058_036
HGB_1_058_038,HGB_1_058_036
HGB_1_058_091,HGB_1_058_092
HGB_1_058_091,HGB_1_058_090
HGB_1_058_086,HGB_1_058_087
HGB_1_058_086,HGB_1_058_088
HGB_1_058_155,HGB_1_058_154
HGB_1_058_156,HGB_1_058_154
HGB_1_028_040,HGB_1_028_039
HGB_1_028_041,HGB_1_028_039
HGB_1_028_015,HGB_1_028_013
HGB_1_028_016,HGB_1_028_013
HGB_1_028_043,HGB_1_028_044
HGB_1_028_043,HGB_1_028_045
HGB_1_050_043,HGB_1_050_044
