dossierId,yearFrom,yearTo
HGB_1_184_043,1690.0,
HGB_1_179_014,1506.0,1506.0
HGB_1_010_046,,1574.0
HGB_1_184_047,,1439.0
HGB_1_056_031,1609.0,1758.0
HGB_1_151_012,1475.0,1643.0
HGB_1_194_076,1436.0,1453.0
HGB_1_079_031,1458.0,1498.0
HGB_1_227_023,,1477.0
HGB_1_113_063,,1545.0
HGB_1_113_063,1723.0,
HGB_1_188_033,,1774.0
HGB_1_188_033,1788.0,
HGB_1_159_069,1529.0,1628.0
HGB_1_159_029,,1457.0
HGB_1_159_029,1527.0,
HGB_1_203_019,1362.0,1410.0
HGB_1_154_096,,1785.0
HGB_1_204_016,1484.0,1784.0
HGB_1_147_030,1583.0,1627.0
HGB_1_214_013,,1597.0
HGB_1_225_024,,1416.0
HGB_1_225_024,1471.0,1543.0
HGB_1_137_073,1509.0,1546.0
HGB_1_063_081,1749.0,1818.0
HGB_1_103_061,1726.0,1763.0
HGB_1_204_033,1451.0,1451.0
HGB_1_113_029,1498.0,1558.0
HGB_1_122_048,,1400.0
HGB_1_179_010,1678.0,
HGB_1_148_024,1482.0,1816.0
HGB_1_074_032,,1579.0
HGB_1_074_032,1719.0,
HGB_1_155_048,1364.0,
HGB_1_091_090,1420.0,1610.0
HGB_1_091_090,1612.0,1732.0
HGB_1_147_059,1363.0,1394.0
HGB_1_168_076,1566.0,
HGB_1_184_037,1610.0,1643.0
HGB_1_028_062,,1453.0
HGB_1_028_062,1515.0,
HGB_1_103_064,1729.0,1775.0
HGB_1_058_024,1446.0,1732.0
HGB_1_010_089,1837.0,
HGB_1_159_144,,1655.0
HGB_1_159_144,1792.0,
HGB_1_177_028,,1727.0
HGB_1_159_048,1413.0,1520.0
HGB_1_229_010,1419.0,
HGB_1_154_087,1520.0,1538.0
HGB_1_074_094,1588.0,1746.0
HGB_1_181_011,,1773.0
HGB_1_197_054,,1331.0
HGB_1_197_054,1399.0,1412.0
HGB_1_122_059,1458.0,1466.0
HGB_1_189_061,1334.0,1807.0
HGB_1_091_050,1547.0,1617.0
HGB_1_155_033,,1413.0
HGB_1_155_033,1491.0,1674.0
HGB_1_050_051,,1610.0
HGB_1_050_051,1615.0,
HGB_1_159_046,1400.0,1413.0
HGB_1_159_046,1520.0,
HGB_1_197_069,,1416.0
HGB_1_197_069,1793.0,
HGB_1_190_026,1438.0,1561.0
HGB_1_137_071,1509.0,1546.0
HGB_1_085_039,1438.0,1454.0
HGB_1_095_021,1744.0,
HGB_1_154_089,,1414.0
HGB_1_154_089,1632.0,
HGB_1_086_011,1254.0,
HGB_1_214_039,1749.0,
HGB_1_050_047,1435.0,1762.0
HGB_1_063_070,,1359.0
HGB_1_063_070,1456.0,
HGB_1_189_015,,1764.0
HGB_1_189_015,1787.0,
HGB_1_216_027,,1456.0
HGB_1_216_027,1574.0,
HGB_1_106_017,,1763.0
HGB_1_106_017,1773.0,1842.0
HGB_1_154_026,1610.0,1701.0
HGB_1_082_006,1422.0,1576.0
HGB_1_189_054,1610.0,1749.0
HGB_1_091_056,1572.0,
HGB_1_024_029,,1610.0
HGB_1_177_012,1432.0,
HGB_1_091_112,,1345.0
HGB_1_091_112,1441.0,1630.0
HGB_1_154_042,,1506.0
HGB_1_154_042,1583.0,
HGB_1_218_010,,1423.0
HGB_1_218_010,1728.0,
HGB_1_014_034,1550.0,
HGB_1_137_055,1284.0,
HGB_1_014_024,1410.0,1548.0
HGB_1_227_032,1411.0,1669.0
HGB_1_197_047,,1439.0
HGB_1_197_047,1460.0,1590.0
HGB_1_197_047,1603.0,
HGB_1_028_026,1422.0,1529.0
HGB_1_079_014,1510.0,1544.0
HGB_1_189_016,1764.0,1787.0
HGB_1_104_036,,1708.0
HGB_1_104_036,1740.0,1753.0
HGB_1_063_054,1555.0,
HGB_1_197_083,1475.0,1499.0
HGB_1_091_067,,1603.0
HGB_1_181_028,1422.0,1798.0
HGB_1_179_008,1461.0,1678.0
HGB_1_194_070,,1649.0
HGB_1_194_070,1798.0,1842.0
HGB_1_010_045,,1574.0
HGB_1_091_085,,1610.0
HGB_1_091_085,1612.0,
HGB_1_014_016,1384.0,1487.0
HGB_1_050_063,,1400.0
HGB_1_050_063,1606.0,
HGB_1_159_027,1457.0,1527.0
HGB_1_074_101,,1610.0
HGB_1_160_025,1462.0,1830.0
HGB_1_229_024,1792.0,1835.0
HGB_1_227_073,,1708.0
HGB_1_184_063,1421.0,1488.0
HGB_1_008_021,1395.0,1487.0
HGB_1_093_008,,1706.0
HGB_1_093_008,1767.0,
HGB_1_189_022,1682.0,
HGB_1_091_144,1438.0,1518.0
HGB_1_091_144,1567.0,
HGB_1_179_009,,1461.0
HGB_1_103_017,,1574.0
HGB_1_103_017,1696.0,
HGB_1_227_048,1705.0,1768.0
HGB_1_183_016,1590.0,1667.0
HGB_1_154_052,,1517.0
HGB_1_154_052,1518.0,
HGB_1_091_108,,1676.0
HGB_1_104_025,,1459.0
HGB_1_103_067,1729.0,1775.0
HGB_1_133_014,1517.0,1611.0
HGB_1_137_079,,1330.0
HGB_1_137_079,1345.0,
HGB_1_010_095,1838.0,
HGB_1_074_093,1490.0,1533.0
HGB_1_227_020,,1683.0
HGB_1_227_020,1688.0,
HGB_1_159_122,1403.0,1411.0
HGB_1_225_018,,1715.0
HGB_1_113_061,1565.0,
HGB_1_064_032,,1787.0
HGB_1_218_009,1423.0,1728.0
HGB_1_085_034,1438.0,1454.0
HGB_1_091_111,,1345.0
HGB_1_091_111,1441.0,1630.0
HGB_1_159_121,,1403.0
HGB_1_159_121,1411.0,
HGB_1_216_024,,1456.0
HGB_1_216_024,1588.0,
HGB_1_227_061,1515.0,1692.0
HGB_1_214_063,1413.0,1501.0
HGB_1_214_063,1734.0,
HGB_1_184_018,,1464.0
