"dossierid","seite","urlimage","jahr_vorseite","jahr_folgeseite","prev_urlimage","next_urlimage","pageid","note","year","datum_neu","datum_korrekt","done","kommentar","omit","pagenr"
1156258,3,https://files.transkribus.eu/Get?id=QTAXZWOLBWZYXDKVYSSJNJQN&fileType=view,,1330,"",https://files.transkribus.eu/Get?id=DQKLJYLAXNDYWHCGETMUWLXG&fileType=view,47396981,Year number is larger than year from next entry.,1338,1330,false,true,"",false,
1156258,4,https://files.transkribus.eu/Get?id=DQKLJYLAXNDYWHCGETMUWLXG&fileType=view,1338,1463,https://files.transkribus.eu/Get?id=QTAXZWOLBWZYXDKVYSSJNJQN&fileType=view,https://files.transkribus.eu/Get?id=OIOHFWYZVNUDJVFQGXEURNMQ&fileType=view,47396986,Year number is smaller than year from previous entry.,1330,,true,true,"",false,
1156261,5,https://files.transkribus.eu/Get?id=UGJDTCWBYIZBACQKXWUVNNVX&fileType=view,1663,1670,https://files.transkribus.eu/Get?id=QFADDLLPDMKUKGAXGMMTCZOZ&fileType=view,https://files.transkribus.eu/Get?id=YWNJRPEAEFMZIHYMCVOOQINO&fileType=view,47397060,Year number is larger than year from next entry.,1672,,true,true,"",false,
1156258,11,https://files.transkribus.eu/Get?id=LBFEDSTAZUKYFITEYKJMAVIF&fileType=view,1558,1562,https://files.transkribus.eu/Get?id=ITKBMHLXIZXJXBPSIGXSKADE&fileType=view,https://files.transkribus.eu/Get?id=EKNWWCDOEOKBZSEXDLMQWPSP&fileType=view,47397031,Year number is larger than year from next entry.,1563,,true,true,"",false,
1156261,6,https://files.transkribus.eu/Get?id=YWNJRPEAEFMZIHYMCVOOQINO&fileType=view,1672,1673,https://files.transkribus.eu/Get?id=UGJDTCWBYIZBACQKXWUVNNVX&fileType=view,https://files.transkribus.eu/Get?id=OKJKXHYSQNJOXCIDIOYZUXSH&fileType=view,47397068,Year number is smaller than year from previous entry.,1670,,true,true,"",false,
1156260,17,https://files.transkribus.eu/Get?id=PGENNTSGSQFFILGIGAFYHANL&fileType=view,1767,1769,https://files.transkribus.eu/Get?id=AZKUSUFKXLWXJVXVBFRORBUC&fileType=view,https://files.transkribus.eu/Get?id=KRLIIISGHTLHSVYXYVJJYBKF&fileType=view,47397106,Year number is larger than year from next entry.,1787,1767,false,true,"",false,
1156260,21,https://files.transkribus.eu/Get?id=QVTQZMHFQHOWLAYQWEHOCLXS&fileType=view,1769,1770,https://files.transkribus.eu/Get?id=ELVZCTHVSUPGUYQMUYVFFXLP&fileType=view,https://files.transkribus.eu/Get?id=LLEUZQRVYLXWGMSSWASBIDPA&fileType=view,47397131,Year number is larger than year from next entry.,1789,1769,false,true,"",false,
1156262,3,https://files.transkribus.eu/Get?id=EQDYNODAYPUHXDSQHJAJDINS&fileType=view,,1350,"",https://files.transkribus.eu/Get?id=UBZOVDTIWLKLQSSMYWIAIIUZ&fileType=view,47397139,Year number is larger than year from next entry.,1435,1335,false,true,"",false,
1156262,4,https://files.transkribus.eu/Get?id=UBZOVDTIWLKLQSSMYWIAIIUZ&fileType=view,1435,,https://files.transkribus.eu/Get?id=EQDYNODAYPUHXDSQHJAJDINS&fileType=view,"",47397148,Year number is smaller than year from previous entry.,1350,1350,false,true,ungefähr,false,
1156268,19,https://files.transkribus.eu/Get?id=IPXQSIBKXFCNMLZKGYSFPEON&fileType=view,1499,,https://files.transkribus.eu/Get?id=JBEUJSOKRMBFSXYYJVQMCPVO&fileType=view,"",47397455,Year number is smaller than year from previous entry.,1419,,true,true,"",false,
1156271,6,https://files.transkribus.eu/Get?id=MSDDBVTVKKTOTJZOXWUEMWSB&fileType=view,1402,1414,https://files.transkribus.eu/Get?id=KXVSNOFVPSXPDYSNTJNQQXSX&fileType=view,https://files.transkribus.eu/Get?id=VPLAECYBWQEEAKNKNGNPSRML&fileType=view,47397476,Year number is larger than year from next entry.,1494,1414,false,true,"",false,
1157682,5,https://files.transkribus.eu/Get?id=DYANDXCELYWWUUMYJHXOCMUM&fileType=view,1349,,https://files.transkribus.eu/Get?id=LXFWVSUJVDKAOLDPFRJFJECO&fileType=view,"",47425013,Year number is smaller than year from previous entry.,1319,,true,true,"",false,
1157692,5,https://files.transkribus.eu/Get?id=AYVSQDKWZFXGTEOMPZSPDMHB&fileType=view,1423,1425,https://files.transkribus.eu/Get?id=BIPJMZKCOFVQFUOLGUGPYBRZ&fileType=view,https://files.transkribus.eu/Get?id=BTKGDGXZLHHXBFLPPATSGXYP&fileType=view,47425107,Year number is larger than year from next entry.,1436,,true,true,"",false,
1157692,11,https://files.transkribus.eu/Get?id=POFVFNQQMFSFSODLVRTTZGQH&fileType=view,1451,1453,https://files.transkribus.eu/Get?id=BSJXTKHFLQTUGVNZHCQTAGFX&fileType=view,https://files.transkribus.eu/Get?id=WEOGPJAGZXFMQHNIEOCKRLAY&fileType=view,47425151,Year number is smaller than year from previous entry.,1438,1438,false,true,"",false,
1157690,25,https://files.transkribus.eu/Get?id=EBBLMECVNCMDIPQFWTFWSECM&fileType=view,1442,1450,https://files.transkribus.eu/Get?id=HMAWBNQDZLEXPZJNKKYQUTXV&fileType=view,https://files.transkribus.eu/Get?id=ZLGWTNGVPDNUSYMADHZTDVVD&fileType=view,47425232,Year number is larger than year from next entry.,1480,1450,false,true,"",false,
1157693,22,https://files.transkribus.eu/Get?id=GZUKIGACFZVQTJXFYEDAUHPT&fileType=view,1509,1520,https://files.transkribus.eu/Get?id=IKWEQRWIRBLNODYWSWRKJDCK&fileType=view,https://files.transkribus.eu/Get?id=UVGGXAHXYCGKTBTKEAOFBLBH&fileType=view,47425358,Year number is larger than year from next entry.,1523,,true,true,"",false,
1157693,6,https://files.transkribus.eu/Get?id=LSHBPSVIAFOGBEJENXUZSMEU&fileType=view,1402,1407,https://files.transkribus.eu/Get?id=ZUKIPMIAOBCHRFNYUPZFLIFX&fileType=view,https://files.transkribus.eu/Get?id=VCIPXYKAQFGYTSNOLCVVDZYB&fileType=view,47425258,Year number is larger than year from next entry.,1495,1405,false,true,"",false,
1157693,23,https://files.transkribus.eu/Get?id=UVGGXAHXYCGKTBTKEAOFBLBH&fileType=view,1523,1545,https://files.transkribus.eu/Get?id=GZUKIGACFZVQTJXFYEDAUHPT&fileType=view,https://files.transkribus.eu/Get?id=NBQTNIUJNLBPCGJMGTZWNGSQ&fileType=view,47425363,Year number is smaller than year from previous entry.,1520,,true,true,"",false,
1157693,5,https://files.transkribus.eu/Get?id=ZUKIPMIAOBCHRFNYUPZFLIFX&fileType=view,1482,1495,https://files.transkribus.eu/Get?id=UDVNAIRQQLHQNRPISIQMYOUV&fileType=view,https://files.transkribus.eu/Get?id=LSHBPSVIAFOGBEJENXUZSMEU&fileType=view,47425253,Year number is smaller than year from previous entry.,1402,,true,true,"",false,
1157693,28,https://files.transkribus.eu/Get?id=LTQMFIQTDXPRHWAWJNOVZCIJ&fileType=view,1558,1559,https://files.transkribus.eu/Get?id=NWLCREOZCUEGLMMGNSJAKDAF&fileType=view,https://files.transkribus.eu/Get?id=EZXSBIZLKGZPBNRPPZJYGINA&fileType=view,47425392,Year number is larger than year from next entry.,1560,,true,true,"",false,
1157693,29,https://files.transkribus.eu/Get?id=EZXSBIZLKGZPBNRPPZJYGINA&fileType=view,1560,1571,https://files.transkribus.eu/Get?id=LTQMFIQTDXPRHWAWJNOVZCIJ&fileType=view,https://files.transkribus.eu/Get?id=QRZWNGCDXNRZLBWQAAVMXBDA&fileType=view,47425397,Year number is smaller than year from previous entry.,1559,,true,true,"",false,
1157692,56,https://files.transkribus.eu/Get?id=YKESODHZNWGSWRQVLUWOIUXM&fileType=view,1783,1785,https://files.transkribus.eu/Get?id=ICONNVKWNARNQZRAOVCKSHRX&fileType=view,https://files.transkribus.eu/Get?id=NYSDWBXSFPJDKVQESJUGJVHW&fileType=view,47425410,Year number is larger than year from next entry.,1788,1785,false,true,"",false,
1157694,6,https://files.transkribus.eu/Get?id=CHVEZFIWIDCQUEPWVTGZMHGP&fileType=view,1590,1612,https://files.transkribus.eu/Get?id=DKNKMNOWRPUIDOKTSEWECMUS&fileType=view,https://files.transkribus.eu/Get?id=JAUNNREVKGWFMQWUBRAMOOAB&fileType=view,47425490,Year number is larger than year from next entry.,1678,1610,false,true,"",false,
1157699,5,https://files.transkribus.eu/Get?id=SDSFIZJLMXHQXOGEKUYRBUGL&fileType=view,1300,1316,https://files.transkribus.eu/Get?id=VNIHPGKXITZWLPPOQEHSMSEY&fileType=view,https://files.transkribus.eu/Get?id=WEIPYCVIPOTLEPUTJUHXINAA&fileType=view,47425636,Year number is larger than year from next entry.,1384,1304,false,true,"",false,
1157701,6,https://files.transkribus.eu/Get?id=ZKXRWVIYJQOBOVVSKBNDXOXA&fileType=view,1391,1410,https://files.transkribus.eu/Get?id=QYSCZZWKTDZGKZCOWOVEEYBT&fileType=view,https://files.transkribus.eu/Get?id=NKBMPPDRCTVVOVOTLOMPEIQM&fileType=view,47425751,Year number is larger than year from next entry.,1499,1409,false,true,"",false,
1157702,14,https://files.transkribus.eu/Get?id=TJEFVPUYJBLJSNZJAKXJVJND&fileType=view,1481,1484,https://files.transkribus.eu/Get?id=BGEKDMBZLTJYXQVHMVRLCCSV&fileType=view,https://files.transkribus.eu/Get?id=SKAKRKEWBZJGQXILPVLNLQCN&fileType=view,47425849,Year number is larger than year from next entry.,1487,1484,false,true,"",false,
1157700,25,https://files.transkribus.eu/Get?id=UJLDIDTQMHBJOGFEAAXUJRQU&fileType=view,1619,1623,https://files.transkribus.eu/Get?id=BHGXAARMUYPHHGDWLGJYSWJQ&fileType=view,https://files.transkribus.eu/Get?id=ICNFQRWMEQWRKFXHKUOGOXFO&fileType=view,47425861,Year number is larger than year from next entry.,1629,1620,false,true,"",false,
1157696,54,https://files.transkribus.eu/Get?id=QYSVUTGOSRTHJFBHJQDNGAZC&fileType=view,1701,1717,https://files.transkribus.eu/Get?id=CPCCCVLOIZOHTNSIRFPZHBJB&fileType=view,https://files.transkribus.eu/Get?id=RCBVEQPMHELIDHKRZHFQQNUF&fileType=view,47425894,Year number is larger than year from next entry.,1719,1710,false,true,"",false,
1157700,38,https://files.transkribus.eu/Get?id=XZWZJNMBTHZXHFMNEIKPMXMY&fileType=view,1646,1648,https://files.transkribus.eu/Get?id=QWAQHOMVKHRNRLNEKFWQWWIY&fileType=view,https://files.transkribus.eu/Get?id=MOXUOIDQOEIUMEMTGDOAGCUS&fileType=view,47425919,Year number is smaller than year from previous entry.,1645,,true,true,"",false,
1157700,49,https://files.transkribus.eu/Get?id=IZMZDBZPNCVRYNRIJXFAJRGB&fileType=view,1710,1730,https://files.transkribus.eu/Get?id=OOKEQUZALJBKEMAMWVEEJJSO&fileType=view,https://files.transkribus.eu/Get?id=OFRARPRHOHRNFMQMXABEHZUQ&fileType=view,47425982,Year number is larger than year from next entry.,1737,1727,false,true,"",false,
1157700,50,https://files.transkribus.eu/Get?id=OFRARPRHOHRNFMQMXABEHZUQ&fileType=view,1737,1749,https://files.transkribus.eu/Get?id=IZMZDBZPNCVRYNRIJXFAJRGB&fileType=view,https://files.transkribus.eu/Get?id=JOZAYMEVCASJNUGWMDHBHAUG&fileType=view,47425988,Year number is smaller than year from previous entry.,1730,,true,true,"",false,
1157703,16,https://files.transkribus.eu/Get?id=RSJBDKOWXLCIPMNIOKHFRRFB&fileType=view,1408,1490,https://files.transkribus.eu/Get?id=ZFRCZQEUWWSSHGMQVITCRGEF&fileType=view,https://files.transkribus.eu/Get?id=QGOOKKLCUXIPXUSGVRINARMR&fileType=view,47426006,Year number is larger than year from next entry.,1497,1417,false,true,"",false,
1157731,3,https://files.transkribus.eu/Get?id=UQOOLLKADNWSCREHEYTEBUVD&fileType=view,,1579,"",https://files.transkribus.eu/Get?id=LSRKOFDQFKLPZMPMXDYRPBII&fileType=view,47426322,Year number is larger than year from next entry.,1583,1544,false,true,"",false,
1157731,4,https://files.transkribus.eu/Get?id=LSRKOFDQFKLPZMPMXDYRPBII&fileType=view,1583,1586,https://files.transkribus.eu/Get?id=UQOOLLKADNWSCREHEYTEBUVD&fileType=view,https://files.transkribus.eu/Get?id=UNDNXPZLGSRLMHJTXWPRYUNZ&fileType=view,47426328,Year number is smaller than year from previous entry.,1579,,true,true,"",false,
1157737,6,https://files.transkribus.eu/Get?id=EBIEBXSWRGFTSCBFOBZQAXPW&fileType=view,1517,1525,https://files.transkribus.eu/Get?id=IJGMYUHQGEVLXKVRLFGPAGZG&fileType=view,https://files.transkribus.eu/Get?id=JPKKGGIZJBHPXSVJNXXCILCK&fileType=view,47426404,Year number is larger than year from next entry.,1547,1517,false,true,"",false,
1157769,3,https://files.transkribus.eu/Get?id=KENGFMWJJJIZXOCKWSIHCJFQ&fileType=view,,1420,"",https://files.transkribus.eu/Get?id=USWAUBYNXNPIFUOPANIXXOQP&fileType=view,47427323,Year number is larger than year from next entry.,1494,1414,false,true,"",false,
1158116,10,https://files.transkribus.eu/Get?id=SRTZVYCLHCIRNDFEBJPDQOWA&fileType=view,1450,1486,https://files.transkribus.eu/Get?id=QQYRJBMDXQEDGDTLGKCDWWCH&fileType=view,https://files.transkribus.eu/Get?id=QPMTITDQKZOABJXJOTQJEQXK&fileType=view,47427341,Year number is larger than year from next entry.,1487,,true,true,"",false,
1158116,12,https://files.transkribus.eu/Get?id=QPMTITDQKZOABJXJOTQJEQXK&fileType=view,1487,1502,https://files.transkribus.eu/Get?id=SRTZVYCLHCIRNDFEBJPDQOWA&fileType=view,https://files.transkribus.eu/Get?id=OHERAJDPWOMRDUOEORHARKVY&fileType=view,47427350,Year number is smaller than year from previous entry.,1486,,true,true,"",false,
