"dossierid","title","oldhousenumber","descriptivenote","zu_kontrollieren","begruendung","location","kategorie","bemerkung"
HGB_1_074_093,Hebelstrasse Theil von 28 neben 30,Theil von 269,Seit 1490. Vorher siehe 28 ganz. Bis 1533. Nachher siehe 28 ganz.,false,,POINT (2610777.9887546804 1267811.7401368218),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_002_032,"Aeschenvorstadt Theil von 15, Mitte","Theil von 1038, Mitte",Bis 1570. Nachher siehe Th. v. 15/1038 neben 13 und Mitte.,false,,POINT (2611614.823762364 1266948.236388426),,
HGB_1_058_100,"Freie Strasse Theil von 117, Ecke (am alten Luftgässlein)","Theil von 1065, Ecke (am alten Luftgässlein)",Siehe Plan No. 8. Bis 1796. Nachher siehe 117 ganz.,false,,POINT (2611543.9038232663 1267050.9543798016),,
HGB_1_018_024,"Bäumleingasse Theil von 2, Ecke","Theil von 1076, Ecke",Bis 1721. Nachher siehe 2/1076.,false,,POINT (2611515.478529749 1267122.6226583137),,
HGB_1_058_184,"Freie Strasse Theil von 70, zweites Haus von 68","Theil von 1084, zweites Haus von 1085",Bis 1424. Nachher siehe 70/1084.,false,,POINT (2611458.718885593 1267166.8308038223),,
HGB_1_058_181,"Freie Strasse Th. v. 66, Ecke","Th. v. 1086, Ecke","Seit 1374. Vorher siehe 66 u. Streitgasse 1, 3, 5 vereinigt. Bis 1419. Nachher siehe 66.",false,,POINT (2611453.028430473 1267181.1811142555),,
HGB_1_024_024,"Barfüsserplatz Theil von 5, Ecke","Theil von 1094, Ecke",Bis 1670. nachher siehe 5/1094.,false,,POINT (2611388.0501453835 1267162.415392971),,
HGB_1_091_076,"St. Johanns-Vorstadt 45, 49","22 A, 11","Seit 1593. Vorher siehe Th. v. 45 neb. 43, Th. v. 45 neb. 49 u. 49 getrennt. Bis 1729. Nachher siehe 45 u. 49 getrennt.",false,,POINT (2610883.766724923 1268254.9485847126),,
HGB_1_229_025,"Weisse Gasse Theil von 21, Ecke","Theil von 1107, Ecke","Siehe Plan No. 3. Seit 1571. Vorher siehe Th. v. 17, Ecke, 19, Th. v. 21, Ecke. Bis 1792. Nachher siehe 21/1107.",false,,POINT (2611386.2379274573 1267180.0171266156),,
HGB_1_229_020,"Weisse Gasse Theil von 17, Ecke, 19, Theil von 21, Ecke","Theil von 1109, Ecke, 1108, Theil von 1107, Ecke","Siehe Plan No. 3. Bis 1751. Nachher siehe Th. v. 17, Ecke, 19 und Th. v. 21, Ecke getrennt.",false,,POINT (2611385.7149420227 1267190.3543600745),,
HGB_1_229_021,"Weisse Gasse Theil von 17, Ecke","Theil von 1109, Ecke","Siehe Plan No. 3. Seit 1454. Vorher siehe Th. v. 17 Ecke, 19, Th. v. 21 Ecke. Bis 1701. Nachher siehe 17/1109.",false,,POINT (2611383.329076914 1267200.6205834826),,
HGB_1_151_025,"Pfluggässlein Theil von 16, Ecke","Theil von 1126, Ecke",Bis 1744. Nachher siehe 16/1126.,false,,POINT (2611330.697608068 1267266.4883811427),,
HGB_1_024_016,Barfüsserplatz Theil von 3,"Theil von 1146, zweites Haus vom Birsig","Bis 1316. Nachher siehe Th. v. 1146, erstes und drittes Haus vom Birsig.",false,,POINT (2611362.196220226 1267166.4566294649),,
HGB_1_024_017,Barfüsserplatz Theil von 3,"Theil von 1146, 1. und 2. Haus vom Birsig","Seit 1316. Vorher siehe Th. v. 1146, 1. Haus v. Birsig u. Th. v. 1146, 2. Haus v. Birsig. Bis 1380. Nachher siehe Th. v. 1146, 1., 2. und 3. Haus vom Birsig.",false,,POINT (2611362.196220226 1267166.4566294649),,
HGB_1_024_019,Barfüsserplatz Theil von 3,"Theil von 1146, 1., 2. und 3. Haus vom Birsig","Seit 1380. Vorher siehe Th. v. 1146, 1. u. 2. Haus vom Birsig u. Th. v. 1146, 3. Haus v. Birsig. Bis 1516. nachher siehe 1146.",false,,POINT (2611362.196220226 1267166.4566294649),,
HGB_1_024_015,Barfüsserplatz Theil von 3,"Theil von 1146, 3. Haus vom Birsig","Bis 1380. Nachher siehe Th. v. 1146, 1., 2. und 3. Haus vom Birsig.",false,,POINT (2611362.196220226 1267166.4566294649),,
HGB_1_173_008,"Rüdengasse Theil von 1, Ecke","Theil von 1169, Ecke",,false,,POINT (2611330.89934507 1267354.6648618774),,
HGB_1_173_009,"Rüdengasse Theil von 1, Mitte","Theil von 1169, Mitte","Seit [...]. Vorher siehe [...]. Bis 1619. Nachher siehe Th. v. 1, Ecke.",false,,POINT (2611330.89934507 1267354.6648618774),,
HGB_1_058_150,"Freie Strasse Theil von 30, Mittelhaus","Theil von 1173, Mittelhaus",Seit 1427. Vorher siehe 30/1173. Bis 1504. Nachher siehe 30/1173.,false,,POINT (2611366.9273429434 1267330.0854218162),,
HGB_1_058_151,"Freie Strasse Theil von 30, Hinterhaus","Theil von 1173, Hinterhaus",Seit 1427. Vorher siehe 30/1173. Bis 1504. Nachher siehe 30/1173.,false,,POINT (2611366.9273429434 1267330.0854218162),,
HGB_1_058_149,"Freie Strasse Theil von 30, Vorderhaus","Theil von 1173, Vorderhaus",Seit 1427. Vorher siehe 30/1173. Bis 1504. Nachher siehe 30/1173.,false,,POINT (2611366.9273429434 1267330.0854218162),,
HGB_1_151_015,"Pfluggässlein 2, 4","Th. v. 1177, 1120",Bis 1390. Nachher siehe 2 u. 4 getrennt.,false,,POINT (2611389.835813522 1267294.512449785),,
HGB_1_058_161,"Freie Strasse Theil von 38, Ecke","Theil von 1177, Ecke",Bis 1463. Nachher siehe 38/1177.,false,,POINT (2611389.835813522 1267294.512449785),,
HGB_1_058_163,"Freie Strasse Theil von 40, Ecke","Theil von 1178, Ecke",Bis 1480. Nachher siehe 40/1178. Siehe Plan Weissegasse No. 5.,false,,POINT (2611399.262360158 1267277.8558327197),,
HGB_1_169_010,Ringgässlein 4,"1187 / 1186",Seit 1610. Vorher siehe Freiestrasse 54.,false,,POINT (2611407.977888313 1267218.4392160105),,
HGB_1_170_058,Rittergasse Theil von 22 neben 24,"Theil von 1211, Mitte",Bis 1439. Nachher siehe Th. v. 22 neben 24 und 24.,false,,POINT (2611699.0949979187 1267134.588992748),,
HGB_1_170_059,Rittergasse Theil von 22 neben 24 und 24,"Theil von 1211, Mitte und neben 1212.","Seit 1439. Vorher siehe Theil von 22 neben 24 und 24. Bis 1532. Nachher siehe 22/1211, 24/1211.",false,,POINT (2611699.0949979187 1267134.588992748),,
HGB_1_010_103,"St. Alban-Vorstadt Theil von 2, Ecke","Theil von 1214, Ecke",Bis 1636. Nachher siehe 2/1214.,false,,POINT (2611769.358383484 1267118.8040546917),,
HGB_1_010_105,St. Alban-Vorstadt 4 / 2,"1215 / 1314",Seit 1730. Vorher siehe Th. v. 4 neben 2 und Th. v. 4 neben 6.,false,,POINT (2611779.224815446 1267117.029158883),,
HGB_1_120_037,"Malzgasse Th. v. 23, 2. Hs. v. 21","Th. v. 1249, 2. Hs. v. 21",,false,,POINT (2611892.920691345 1266846.5554764057),,
HGB_1_120_042,"Malzgasse Th. v. 27, Ecke","Th. v. 1249, Ecke",,false,,POINT (2611892.920691345 1266846.5554764057),,
HGB_1_120_030,"Malzgasse 19, 21, vorderer Th.","1251, 1250, vorderer Th.",,false,,POINT (2611977.744184307 1266955.6984018583),,
HGB_1_120_031,"Malzgasse 19, 21, 23, hint. Th., 1 Stück","Th. v. 1250, 1249, hint. Th., 1 Stück",,false,,POINT (2611977.744184307 1266955.6984018583),,
HGB_1_120_032,"Malzgasse 19, 21, 23, hint. Th., 1 + 2 Stück","Th. 1250, 1249, hint. Th., 1 + 2 Stück",,false,,POINT (2611977.744184307 1266955.6984018583),,
HGB_1_120_033,"Malzgasse Th. v. 19, 21, 23, hint. Th., 2. Stück","Th. v. 1250, 1249, hint. Th., 2. Stück",,false,,POINT (2611977.744184307 1266955.6984018583),,
