"dossierid","title","type","dossieridnextto","dossieridjoined","comment","tocheck","reasontocheck","distanceshifted","locationshifted","locationeditedmanually","representation","bearbeitet_katrin"
HGB_1_050_058,Eisengasse Bank vor 26,partOf,,,,,,,POINT (2611218.720149879 1267602.7271401933),,unchanged_with_type,false
HGB_1_050_061,"Eisengasse Theil von 28, Ecke",partOf,,,,,,,POINT (2611215.0199962384 1267593.368933299),,unchanged_with_type,false
HGB_1_050_050,Eisengasse Laden unter 16,partOf,,,,,,,POINT (2611237.480676406 1267629.0659482966),,unchanged_with_type,false
HGB_1_227_025,Webergasse Th. v. 17 nieder Rad,partOf,,,,,,,POINT (2611458.352639599 1267950.1224986718),,unchanged_with_type,false
HGB_1_227_026,Webergasse Th. v. 17 Oberrad,partOf,,,,,,,POINT (2611458.352639599 1267950.1224986718),,unchanged_with_type,false
HGB_1_010_138,St. Alban-Vorstadt Th. v. 58,partOf,,,,,,,POINT (2612013.328182436 1267072.726250142),,unchanged_with_type,false
HGB_1_014_009,"Augustinergasse Theil von 1 (Mitte, Vorderhaus)",partOf,,,,,,,POINT (2611427.492380506 1267478.72919742),,unchanged_with_type,false
HGB_1_014_019,Augustinergasse Theil von 3,partOf,,,,,,,POINT (2611439.6005924586 1267464.932627632),,unchanged_with_type,false
HGB_1_014_020,Augustinergasse Theil von 3,partOf,,,,,,,POINT (2611439.6005924586 1267464.932627632),,unchanged_with_type,false
HGB_1_014_021,Augustinergasse Theil von 3,partOf,,,,,,,POINT (2611439.6005924586 1267464.932627632),,unchanged_with_type,false
HGB_1_018_011,"Bäumleingasse Theil von 1, Mitte",partOf,,,,,,,POINT (2611529.073301839 1267139.233483081),,unchanged_with_type,false
HGB_1_018_024,"Bäumleingasse Theil von 2, Ecke",partOf,,,,,,,POINT (2611515.478529749 1267122.6226583137),,unchanged_with_type,false
HGB_1_023_019,"Barfüssergasse Theil von 10, zweites Haus v. 8",partOf,,,,,,,POINT (2611458.718885593 1267166.8308038223),,unchanged_with_type,false
HGB_1_023_021,"Barfüssergasse Theil von 10, drittes Haus von 8",partOf,,,,,,,POINT (2611458.718885593 1267166.8308038223),,unchanged_with_type,false
HGB_1_023_022,"Barfüssergasse Theil von 10, viertes Haus von 8",partOf,,,,,,,POINT (2611458.718885593 1267166.8308038223),,unchanged_with_type,false
HGB_1_024_013,Barfüsserplatz Theil von 3,partOf,,,,,,,POINT (2611362.196220226 1267166.4566294649),,unchanged_with_type,false
HGB_1_050_062,"Eisengasse Theil von 28, Gässlein",partOf,,,,,,,POINT (2611215.0199962384 1267593.368933299),,unchanged_with_type,false
HGB_1_051_032,Elisabethenstrasse Th. v. 19 (Mitte),partOf,,,,,,,POINT (2611510.6756291967 1266894.486340989),,unchanged_with_type,false
HGB_1_051_041,"Elisabethenstrasse Theil von 27, 2tes Haus von 25",partOf,,,,,,,POINT (2611489.1261898177 1266831.5980206106),,unchanged_with_type,false
HGB_1_051_043,"Elisabethenstrasse Theil von 27, zweites Haus von 29",partOf,,,,,,,POINT (2611489.1261898177 1266831.5980206106),,unchanged_with_type,false
HGB_1_051_067,Elisabethenstrasse Th. v. 4,partOf,,,,,,,POINT (2611529.503403319 1266981.624661583),,unchanged_with_type,false
HGB_1_051_075,Elisabethenstrasse Th. v. 18 (Mitte),partOf,,,,,,,POINT (2611471.6021389402 1266804.3137320555),,unchanged_with_type,false
HGB_1_051_076,Elisabethenstrasse Th. v. 18 u. 20,partOf,,,,,,,POINT (2611470.8117351886 1266799.3087106491),,unchanged_with_type,false
HGB_1_051_078,Elisabethenstrasse Th. v. 20 u. 18,partOf,,,,,,,POINT (2611468.7390591777 1266790.9055021058),,unchanged_with_type,false
HGB_1_051_079,Elisabethenstrasse Th. v. 20 u. 22,partOf,,,,,,,POINT (2611465.650073759 1266777.819773242),,unchanged_with_type,false
HGB_1_056_018,"Fischmarkt, Brotbank A vor 13",partOf,,,,,,,POINT (2611163.1915575955 1267636.6691210086),,unchanged_with_type,false
HGB_1_056_019,"Fischmarkt, Brotbank B vor 13",partOf,,,,,,,POINT (2611163.1915575955 1267636.6691210086),,unchanged_with_type,false
HGB_1_056_020,"Fischmarkt, Brotbank C vor 13",partOf,,,,,,,POINT (2611163.1915575955 1267636.6691210086),,unchanged_with_type,false
HGB_1_056_021,"Fischmarkt, Brotbank D vor 13",partOf,,,,,,,POINT (2611163.1915575955 1267636.6691210086),,unchanged_with_type,false
HGB_1_056_025,"Fischmarkt, Bank vor 15",partOf,,,,,,,POINT (2611178.7560951533 1267637.6664723938),,unchanged_with_type,false
HGB_1_223_029,"Totentanz Theil von 10, oberer Theil",partOf,,,,false,,,POINT (2611079.169534544 1267938.1025004552),true,unchanged_with_type,true
HGB_1_056_015,"Fischmarkt Th. v. 9, Hinterhaus",partOf,,,,false,,,POINT (2611135.765169176 1267612.1404958295),true,unchanged_with_type,true
HGB_1_050_052,"Eisengasse Theil von 18, Ecke",partOf,,,,false,,,POINT (2611230.925898006 1267622.2070853251),true,unchanged_with_type,true
HGB_1_014_024,Augustinergasse Theil von 5 (Vorderhaus),partOf,,,,false,,,POINT (2611445.7846675646 1267458.939586934),true,unchanged_with_type,true
HGB_1_056_046,Fischmarkt Th. v. 14 vord. Th.,partOf,,,,false,,,POINT (2611165.52808217 1267641.4358547942),,unchanged_with_type,true
HGB_1_051_029,Elisabethenstrasse Th. v. 17 (hinterer Theil),partOf,,,,false,,,POINT (2611535.457619779 1266894.826862219),true,unchanged_with_type,true
