stabsId,title,link,serieId
HGB 1 1,Aeschengraben,https://ld.bs.ch/ais/Record/1431894,HGB_1_001
HGB 1 2,Aeschenvorstadt,https://ld.bs.ch/ais/Record/1432346,HGB_1_002
HGB 1 3,St. Alban (Quartier allgemein),https://ld.bs.ch/ais/Record/1432357,HGB_1_003
HGB 1 4,St. Albanthorgraben (später zur St. Alban-Anlage gehörig),https://ld.bs.ch/ais/Record/1432358,HGB_1_004
HGB 1 5,St. Alban-Graben,https://ld.bs.ch/ais/Record/1432359,HGB_1_005
HGB 1 6,St. Alban-Kirchrain / St. Albankirchrain,https://ld.bs.ch/ais/Record/1432360,HGB_1_006
HGB 1 7,"St. Albanringweg / Grosspeterstrasse, St. Alban-Ring, Froburgstrasse",https://ld.bs.ch/ais/Record/1432361,HGB_1_007
HGB 1 8,St. Alban-Tal / St. Albanthal,https://ld.bs.ch/ais/Record/1433137,HGB_1_008
HGB 1 9,St. Alban-Teich / St. Albanteich,https://ld.bs.ch/ais/Record/1433138,HGB_1_009
HGB 1 10,St. Alban-Vorstadt,https://ld.bs.ch/ais/Record/1433139,HGB_1_010
HGB 1 11,[leer] / Alemannengasse,https://ld.bs.ch/ais/Record/1433140,HGB_1_011
HGB 1 12,Allschwilerstrasse,https://ld.bs.ch/ais/Record/1433141,HGB_1_012
HGB 1 13,Andreasplatz / St. Andreasplatz,https://ld.bs.ch/ais/Record/1433142,HGB_1_013
HGB 1 14,Augustinergasse,https://ld.bs.ch/ais/Record/1433143,HGB_1_014
HGB 1 15,Austrasse,https://ld.bs.ch/ais/Record/1433144,HGB_1_015
HGB 1 16,Bachlettenstrasse,https://ld.bs.ch/ais/Record/1433145,HGB_1_016
HGB 1 17,Badergässlein,https://ld.bs.ch/ais/Record/1433146,HGB_1_017
HGB 1 18,Bäumleingasse,https://ld.bs.ch/ais/Record/1461005,HGB_1_018
HGB 1 19,[leer] / Bäumleinhofgasse,https://ld.bs.ch/ais/Record/1461006,HGB_1_019
HGB 1 20,"Bäumleinhofweg (später Kleinriehen-Promenade, Fortsetzung der Kleinriehenstrasse)",https://ld.bs.ch/ais/Record/1461007,HGB_1_020
HGB 1 21,[leer] / Bahnhofstrasse (siehe Riehenring),https://ld.bs.ch/ais/Record/1461008,HGB_1_021
HGB 1 22,[leer] / Hintere Bahnhofstrasse (siehe Isteinerstrasse),https://ld.bs.ch/ais/Record/1461009,HGB_1_022
HGB 1 23,Barfüssergasse,https://ld.bs.ch/ais/Record/1461010,HGB_1_023
HGB 1 24,Barfüsserplatz,https://ld.bs.ch/ais/Record/1461011,HGB_1_024
HGB 1 25,Binningerstrasse,https://ld.bs.ch/ais/Record/1461012,HGB_1_025
HGB 1 26,Birsig,https://ld.bs.ch/ais/Record/1461013,HGB_1_026
HGB 1 27,Birsigstrasse,https://ld.bs.ch/ais/Record/1461014,HGB_1_027
HGB 1 28,Blumenrain,https://ld.bs.ch/ais/Record/1463163,HGB_1_028
HGB 1 29,In der Breite,https://ld.bs.ch/ais/Record/1463164,HGB_1_029
HGB 1 30,[leer] / Breitenstrasse (siehe Zürcherstrasse),https://ld.bs.ch/ais/Record/1463165,HGB_1_030
HGB 1 31,Bruderholzstrasse,https://ld.bs.ch/ais/Record/1463166,HGB_1_031
